,Student ID,Age,Gender,Home Region,Home City,Program ID,Program Main Category Code,Program Sub Category Code,Program Skill Level,Program Presentation Method,Program Start Date,Program End Date,Program Days,Completed Degree,Level of Education,Education Speaciality,Employment Status,GPA,PCRF,GRST,CAUF,INFA,ABIR,SERU,TOSL,APMR,DTFH,QWLM,N/A,Total Regestration,Y
0,4f14c50d-162e-4a15-9cf0-ec129c33bcf0,37,ذكر,منطقة الرياض,الرياض,453686d8-4023-4506-b2df-fac8b059ac26,PCRF,PCRF,مبتدئ,حضوري,2023-05-28,2023-06-08,12,نعم,البكالوريوس,هندسة حاسب الالي,غير موظف,3.05,4,0,0,0,0,0,0,0,0,0,0,4,0
1,0599d409-876b-41a5-af05-749ef0e77d32,21,ذكر,منطقة عسير,خميس مشيط,cc8e4e42-65d5-4fa1-82f9-6c6c2d508b60,APMR,SWPS,متوسط,حضوري,2023-04-02,2023-04-06,5,نعم,البكالوريوس,الإذاعة والتلفزيون والفيلم,طالب,5.0,3,0,6,0,0,1,0,4,0,0,1,15,0
2,38a11c0e-4afc-4261-9c64-e94cc0a272fb,24,ذكر,منطقة الرياض,الرياض,e006900d-05a9-4c2b-a36f-0ffb9fce44cd,APMR,SRTA,متوسط,حضوري,2023-07-23,2023-09-14,54,نعم,البكالوريوس,Information Technology,موظف,3.5,4,1,7,1,0,0,0,0,0,0,0,13,0
3,38a11c0e-4afc-4261-9c64-e94cc0a272fb,24,ذكر,منطقة الرياض,الرياض,3218820e-5fc3-4dcb-8c23-17ac8de5e4b0,GRST,INFA,متوسط,حضوري,2022-09-25,2022-09-27,3,نعم,البكالوريوس,Information Technology,موظف,3.5,4,1,7,1,0,0,0,0,0,0,0,13,0
4,1693e85b-f80e-40ce-846f-395ddcece6d3,23,ذكر,منطقة الرياض,الرياض,2ec15f6b-233b-428a-b9f5-e40bc8d14cf9,TOSL,TOSL,متوسط,حضوري,2023-07-23,2023-08-24,33,نعم,البكالوريوس,حوسبة تطبيقية - (مسار شبكات الحاسب),خريج,3.55,4,0,0,2,0,0,0,0,0,0,0,6,0
5,98a0e8d0-5f80-4634-afd8-322aa0902863,23,ذكر,منطقة الرياض,الرياض,d32da0e9-1aed-48c3-992d-a22f9ccc741e,CAUF,SWPS,متوسط,حضوري,2023-04-30,2023-06-22,54,لا,البكالوريوس,نظم المعلومات الحاسوبية,عمل حر,4.0,0,0,4,0,0,0,0,3,0,0,3,10,0
6,6b27cd77-23aa-438b-bd0b-7abdb40a717c,30,ذكر,منطقة الرياض,الرياض,32bce2ad-426a-4096-b7d0-78b5f30bd8a0,ABIR,INFA,مبتدئ,حضوري,2023-05-14,2023-05-25,12,نعم,البكالوريوس,هندسة حاسب آلي,موظف,4.07,0,0,0,1,0,0,0,0,0,0,0,1,0
7,3c34ef05-7a14-4ed2-a50a-910acaa97006,30,أنثى,منطقة الرياض,الرياض,1b546d80-2ed0-42e6-9867-61b3d2f92d50,GRST,INFA,متوسط,حضوري,2023-08-13,2023-08-17,5,نعم,البكالوريوس,نظم معلومات,موظف,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,85ec0b08-cf03-47d2-a10e-5e9cccf534c3,23,أنثى,المنطقة الشرقية,حفر الباطن,46e7d55e-f11d-47c3-8310-a907c1584671,ABIR,INFA,مبتدئ,عن بعد,2022-07-03,2022-07-07,5,نعم,البكالوريوس,علوم وهندسة الحاسب الآلي,خريج,4.55,2,0,3,0,0,0,0,2,0,0,0,7,0
9,fb35317b-1e3e-492b-8ac1-119cb60c567b,27,أنثى,منطقة مكة المكرمة,جدة,774699c7-15e8-484e-9045-efe5905866aa,APMR,SRTA,متوسط,عن بعد,2022-11-06,2022-11-10,5,نعم,البكالوريوس,نظم المعلومات,موظف - طالب,3.0,4,0,6,1,0,0,0,5,0,0,13,29,0
